SalespersonKey,SalespersonName,UserEmail,RegionKey,RegionName,RoleLevel,ManagerEmail,HireDate,Status
1,Fatima Sharma,manager1@contosogamma.com,1,UAE North,Regional Manager,manager1@contosogamma.com,2019-02-01,Active
2,Rohan Ali,sales002@contosogamma.com,1,UAE North,Sales Representative,manager1@contosogamma.com,2021-03-03,Active
3,Priya Rahman,sales003@contosogamma.com,1,UAE North,Sales Representative,manager1@contosogamma.com,2022-04-04,Active
4,Fatima Qureshi,sales004@contosogamma.com,1,UAE North,Sales Representative,manager1@contosogamma.com,2023-05-05,Active
5,Arjun Bhat,sales005@contosogamma.com,1,UAE North,Sales Representative,manager1@contosogamma.com,2019-06-06,Active
6,Meera Khan,sales006@contosogamma.com,1,UAE North,Sales Representative,manager1@contosogamma.com,2020-07-07,Active
7,Aarav Nair,sales007@contosogamma.com,1,UAE North,Sales Representative,manager1@contosogamma.com,2021-08-08,Active
8,Omar Ali,sales008@contosogamma.com,1,UAE North,Sales Representative,manager1@contosogamma.com,2022-09-09,Active
9,Rahul Pillai,sales009@contosogamma.com,1,UAE North,Sales Representative,manager1@contosogamma.com,2023-10-10,Active
10,Aarav Qureshi,sales010@contosogamma.com,1,UAE North,Sales Representative,manager1@contosogamma.com,2019-11-11,Active
11,Omar Qureshi,manager2@contosogamma.com,2,UAE South,Regional Manager,manager2@contosogamma.com,2020-03-01,Active
12,Meera Ali,sales012@contosogamma.com,2,UAE South,Sales Representative,manager2@contosogamma.com,2021-01-13,Active
13,Vikram Bhat,sales013@contosogamma.com,2,UAE South,Sales Representative,manager2@contosogamma.com,2022-02-14,Active
14,Rohan Sharma,sales014@contosogamma.com,2,UAE South,Sales Representative,manager2@contosogamma.com,2023-03-15,Active
15,Leena Malik,sales015@contosogamma.com,2,UAE South,Sales Representative,manager2@contosogamma.com,2019-04-16,Active
16,Aditya Thomas,sales016@contosogamma.com,2,UAE South,Sales Representative,manager2@contosogamma.com,2020-05-17,Active
17,Ibrahim Singh,sales017@contosogamma.com,2,UAE South,Sales Representative,manager2@contosogamma.com,2021-06-18,Active
18,Aditya Patel,sales018@contosogamma.com,2,UAE South,Sales Representative,manager2@contosogamma.com,2022-07-19,Active
19,Arjun Joseph,sales019@contosogamma.com,2,UAE South,Sales Representative,manager2@contosogamma.com,2023-08-20,Active
20,Fatima Hassan,sales020@contosogamma.com,2,UAE South,Sales Representative,manager2@contosogamma.com,2019-09-01,Active
21,Nadia Pillai,manager3@contosogamma.com,3,Saudi Central,Regional Manager,manager3@contosogamma.com,2021-04-01,Active
22,Rohan Khan,sales022@contosogamma.com,3,Saudi Central,Sales Representative,manager3@contosogamma.com,2021-11-03,Active
23,Vikram Qureshi,sales023@contosogamma.com,3,Saudi Central,Sales Representative,manager3@contosogamma.com,2022-12-04,Active
24,Fatima Joseph,sales024@contosogamma.com,3,Saudi Central,Sales Representative,manager3@contosogamma.com,2023-01-05,Active
25,Arjun Qureshi,sales025@contosogamma.com,3,Saudi Central,Sales Representative,manager3@contosogamma.com,2019-02-06,Active
26,Sara Pillai,sales026@contosogamma.com,3,Saudi Central,Sales Representative,manager3@contosogamma.com,2020-03-07,Active
27,Nadia Bhat,sales027@contosogamma.com,3,Saudi Central,Sales Representative,manager3@contosogamma.com,2021-04-08,Active
28,Omar Nair,sales028@contosogamma.com,3,Saudi Central,Sales Representative,manager3@contosogamma.com,2022-05-09,Active
29,Aisha Ali,sales029@contosogamma.com,3,Saudi Central,Sales Representative,manager3@contosogamma.com,2023-06-10,Active
30,Sara Nair,sales030@contosogamma.com,3,Saudi Central,Sales Representative,manager3@contosogamma.com,2019-07-11,Active
31,Priya Patel,manager4@contosogamma.com,4,Saudi West,Regional Manager,manager4@contosogamma.com,2022-05-01,Active
32,Khalid Thomas,sales032@contosogamma.com,4,Saudi West,Sales Representative,manager4@contosogamma.com,2021-09-13,Active
33,Vikram Hassan,sales033@contosogamma.com,4,Saudi West,Sales Representative,manager4@contosogamma.com,2022-10-14,Active
34,Leena Hassan,sales034@contosogamma.com,4,Saudi West,Sales Representative,manager4@contosogamma.com,2023-11-15,Active
35,Nadia Singh,sales035@contosogamma.com,4,Saudi West,Sales Representative,manager4@contosogamma.com,2019-12-16,Active
36,Rohan Nair,sales036@contosogamma.com,4,Saudi West,Sales Representative,manager4@contosogamma.com,2020-01-17,Active
37,Anika Menon,sales037@contosogamma.com,4,Saudi West,Sales Representative,manager4@contosogamma.com,2021-02-18,Active
38,Hana Ali,sales038@contosogamma.com,4,Saudi West,Sales Representative,manager4@contosogamma.com,2022-03-19,Active
39,Leena Verma,sales039@contosogamma.com,4,Saudi West,Sales Representative,manager4@contosogamma.com,2023-04-20,Active
40,Khalid Thomas,sales040@contosogamma.com,4,Saudi West,Sales Representative,manager4@contosogamma.com,2019-05-01,Active
41,Hana Ali,manager5@contosogamma.com,5,Qatar,Regional Manager,manager5@contosogamma.com,2018-06-01,Active
42,Aditya Khan,sales042@contosogamma.com,5,Qatar,Sales Representative,manager5@contosogamma.com,2021-07-03,Active
43,Priya Khan,sales043@contosogamma.com,5,Qatar,Sales Representative,manager5@contosogamma.com,2022-08-04,Active
44,Aditya Joseph,sales044@contosogamma.com,5,Qatar,Sales Representative,manager5@contosogamma.com,2023-09-05,Active
45,Rohan Nair,sales045@contosogamma.com,5,Qatar,Sales Representative,manager5@contosogamma.com,2019-10-06,Active
46,Omar Bhat,sales046@contosogamma.com,5,Qatar,Sales Representative,manager5@contosogamma.com,2020-11-07,Active
47,Aditya Singh,sales047@contosogamma.com,5,Qatar,Sales Representative,manager5@contosogamma.com,2021-12-08,Active
48,Zara Joseph,sales048@contosogamma.com,5,Qatar,Sales Representative,manager5@contosogamma.com,2022-01-09,Active
49,Vikram Rahman,sales049@contosogamma.com,5,Qatar,Sales Representative,manager5@contosogamma.com,2023-02-10,Active
50,Rohan Rahman,sales050@contosogamma.com,5,Qatar,Sales Representative,manager5@contosogamma.com,2019-03-11,Active
51,Priya Qureshi,manager6@contosogamma.com,6,Kuwait,Regional Manager,manager6@contosogamma.com,2019-07-01,Active
52,Hana Thomas,sales052@contosogamma.com,6,Kuwait,Sales Representative,manager6@contosogamma.com,2021-05-13,Active
53,Sameer Malik,sales053@contosogamma.com,6,Kuwait,Sales Representative,manager6@contosogamma.com,2022-06-14,Active
54,Sameer Joseph,sales054@contosogamma.com,6,Kuwait,Sales Representative,manager6@contosogamma.com,2023-07-15,Active
55,Nadia Ali,sales055@contosogamma.com,6,Kuwait,Sales Representative,manager6@contosogamma.com,2019-08-16,Active
56,Ibrahim George,sales056@contosogamma.com,6,Kuwait,Sales Representative,manager6@contosogamma.com,2020-09-17,Active
57,Zara Nair,sales057@contosogamma.com,6,Kuwait,Sales Representative,manager6@contosogamma.com,2021-10-18,Active
58,Aisha Patel,sales058@contosogamma.com,6,Kuwait,Sales Representative,manager6@contosogamma.com,2022-11-19,Active
59,Ibrahim Menon,sales059@contosogamma.com,6,Kuwait,Sales Representative,manager6@contosogamma.com,2023-12-20,Active
60,Meera Pillai,sales060@contosogamma.com,6,Kuwait,Sales Representative,manager6@contosogamma.com,2019-01-01,Active
61,Arjun Joseph,manager7@contosogamma.com,7,Bahrain,Regional Manager,manager7@contosogamma.com,2020-08-01,Active
62,Khalid Pillai,sales062@contosogamma.com,7,Bahrain,Sales Representative,manager7@contosogamma.com,2021-03-03,Active
63,Vikram George,sales063@contosogamma.com,7,Bahrain,Sales Representative,manager7@contosogamma.com,2022-04-04,Active
64,Rohan Qureshi,sales064@contosogamma.com,7,Bahrain,Sales Representative,manager7@contosogamma.com,2023-05-05,Active
65,Aarav Patel,sales065@contosogamma.com,7,Bahrain,Sales Representative,manager7@contosogamma.com,2019-06-06,Active
66,Hana Thomas,sales066@contosogamma.com,7,Bahrain,Sales Representative,manager7@contosogamma.com,2020-07-07,Active
67,Aditya Patel,sales067@contosogamma.com,7,Bahrain,Sales Representative,manager7@contosogamma.com,2021-08-08,Active
68,Sara Malik,sales068@contosogamma.com,7,Bahrain,Sales Representative,manager7@contosogamma.com,2022-09-09,Active
69,Leena Verma,sales069@contosogamma.com,7,Bahrain,Sales Representative,manager7@contosogamma.com,2023-10-10,Active
70,Aarav Thomas,sales070@contosogamma.com,7,Bahrain,Sales Representative,manager7@contosogamma.com,2019-11-11,Active
71,Rahul Menon,manager8@contosogamma.com,8,Oman,Regional Manager,manager8@contosogamma.com,2021-09-01,Active
72,Rahul Patel,sales072@contosogamma.com,8,Oman,Sales Representative,manager8@contosogamma.com,2021-01-13,Active
73,Sara George,sales073@contosogamma.com,8,Oman,Sales Representative,manager8@contosogamma.com,2022-02-14,Active
74,Anika Singh,sales074@contosogamma.com,8,Oman,Sales Representative,manager8@contosogamma.com,2023-03-15,Active
75,Ibrahim Hassan,sales075@contosogamma.com,8,Oman,Sales Representative,manager8@contosogamma.com,2019-04-16,Active
76,Leena Qureshi,sales076@contosogamma.com,8,Oman,Sales Representative,manager8@contosogamma.com,2020-05-17,Active
77,Rahul Sharma,sales077@contosogamma.com,8,Oman,Sales Representative,manager8@contosogamma.com,2021-06-18,Active
78,Anika Reddy,sales078@contosogamma.com,8,Oman,Sales Representative,manager8@contosogamma.com,2022-07-19,Active
79,Zara Sharma,sales079@contosogamma.com,8,Oman,Sales Representative,manager8@contosogamma.com,2023-08-20,Active
80,Fatima Hassan,sales080@contosogamma.com,8,Oman,Sales Representative,manager8@contosogamma.com,2019-09-01,Active
81,Sara Ali,manager9@contosogamma.com,9,India West,Regional Manager,manager9@contosogamma.com,2022-10-01,Active
82,Aisha Ali,sales082@contosogamma.com,9,India West,Sales Representative,manager9@contosogamma.com,2021-11-03,Active
83,Sameer Nair,sales083@contosogamma.com,9,India West,Sales Representative,manager9@contosogamma.com,2022-12-04,Active
84,Arjun Das,sales084@contosogamma.com,9,India West,Sales Representative,manager9@contosogamma.com,2023-01-05,Active
85,Arjun Qureshi,sales085@contosogamma.com,9,India West,Sales Representative,manager9@contosogamma.com,2019-02-06,Active
86,Ibrahim Rahman,sales086@contosogamma.com,9,India West,Sales Representative,manager9@contosogamma.com,2020-03-07,Active
87,Zara Qureshi,sales087@contosogamma.com,9,India West,Sales Representative,manager9@contosogamma.com,2021-04-08,Active
88,Leena Thomas,sales088@contosogamma.com,9,India West,Sales Representative,manager9@contosogamma.com,2022-05-09,Active
89,Rahul Pillai,sales089@contosogamma.com,9,India West,Sales Representative,manager9@contosogamma.com,2023-06-10,Active
90,Meera Singh,sales090@contosogamma.com,9,India West,Sales Representative,manager9@contosogamma.com,2019-07-11,Active
91,Hana Singh,manager10@contosogamma.com,10,India South,Regional Manager,manager10@contosogamma.com,2018-11-01,Active
92,Sara Joseph,sales092@contosogamma.com,10,India South,Sales Representative,manager10@contosogamma.com,2021-09-13,Active
93,Nadia Verma,sales093@contosogamma.com,10,India South,Sales Representative,manager10@contosogamma.com,2022-10-14,Active
94,Rahul Verma,sales094@contosogamma.com,10,India South,Sales Representative,manager10@contosogamma.com,2023-11-15,Active
95,Fatima Ali,sales095@contosogamma.com,10,India South,Sales Representative,manager10@contosogamma.com,2019-12-16,Active
96,Priya Nair,sales096@contosogamma.com,10,India South,Sales Representative,manager10@contosogamma.com,2020-01-17,Active
97,Aditya Sharma,sales097@contosogamma.com,10,India South,Sales Representative,manager10@contosogamma.com,2021-02-18,Active
98,Sameer Qureshi,sales098@contosogamma.com,10,India South,Sales Representative,manager10@contosogamma.com,2022-03-19,Active
99,Priya Bhat,sales099@contosogamma.com,10,India South,Sales Representative,manager10@contosogamma.com,2023-04-20,Active
100,Priya Sharma,sales100@contosogamma.com,10,India South,Sales Representative,manager10@contosogamma.com,2019-05-01,Active
